new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,2,1,0,0,512,0,30.7448
0,1,2,2,1,0,512,0,30.8186
0,1,2,1,1,0,512,0,31.03
0,1,2,2,1,0,1024,0,31.0888
0,1,2,0,1,0,512,0,31.0946
1,1,2,2,1,0,512,0,31.1244
0,1,2,2,0,0,512,0,31.1458
1,1,2,0,0,0,4096,0,31.1622
0,1,2,0,0,1,512,0,31.1982
0,1,2,0,0,0,1024,0,31.2232
1,1,2,0,0,0,1024,0,31.2326
0,1,2,2,0,0,1024,0,31.2602
0,1,2,2,1,0,2048,0,31.2782
1,1,2,0,0,1,512,0,31.2796
0,1,2,1,0,0,1024,0,31.283
0,1,2,0,0,0,512,0,31.3186
0,1,2,2,1,0,4096,0,31.3372
1,1,2,1,0,0,512,0,31.3498
0,1,2,1,1,1,512,0,31.368
1,1,2,0,1,0,512,0,31.376
0,1,2,0,1,0,1024,0,31.4174
1,1,2,2,0,0,2048,0,31.4314
0,1,2,0,1,1,512,0,31.4334
0,1,2,1,0,1,512,0,31.4648
0,1,2,2,0,0,4096,0,31.4676
0,1,2,1,1,0,1024,0,31.5162
0,1,2,0,0,0,4096,0,31.5282
0,1,2,2,1,1,4096,0,31.6068
0,1,2,0,1,0,2048,0,31.6254
1,1,2,1,1,1,512,0,31.6374
0,1,2,2,1,1,512,0,31.6432
1,1,2,1,1,0,512,0,31.6506
0,1,2,0,0,0,2048,0,31.6514
0,1,2,2,0,1,512,0,31.6628
1,1,2,0,0,0,512,0,31.6822
0,1,2,0,1,0,4096,0,31.6904
0,1,2,1,0,0,2048,0,31.6962
1,1,2,2,0,0,1024,0,31.7042
0,1,2,0,1,1,4096,0,31.7572
1,1,2,2,1,0,1024,0,31.7822
1,1,2,0,1,0,2048,0,31.7862
1,1,2,2,0,0,4096,0,31.8124
0,1,2,2,1,1,2048,0,31.832
1,1,2,2,0,1,512,0,31.8482
1,1,2,0,1,0,4096,0,31.8582
1,1,2,2,1,0,4096,0,31.862
1,1,2,0,0,0,2048,0,31.8866
0,1,1,0,1,0,1024,0,31.9034
0,1,2,1,1,0,2048,0,31.9244
0,1,2,2,0,1,1024,0,31.926
0,1,2,2,0,0,2048,0,31.9334
0,1,2,0,1,1,1024,0,31.9392
0,1,2,1,1,1,4096,0,31.9532
1,1,2,1,1,1,1024,0,31.9676
0,1,2,2,0,1,4096,0,31.9772
1,1,1,0,1,0,1024,0,31.9774
1,1,2,0,1,0,1024,0,31.9844
1,1,2,1,0,0,1024,0,31.9878
0,1,1,0,0,0,4096,0,31.9984
1,1,2,2,1,0,2048,0,32.0026
1,1,2,2,1,1,4096,0,32.0234
0,1,2,2,0,1,2048,0,32.0282
1,1,2,0,0,1,2048,0,32.0286
1,1,2,2,0,0,512,0,32.0308
1,1,2,0,1,1,1024,0,32.0384
1,1,2,2,1,1,2048,0,32.0416
0,1,1,0,1,0,2048,0,32.0884
1,1,2,2,1,1,1024,0,32.0974
1,1,2,1,0,1,512,0,32.099
0,1,2,1,0,1,4096,0,32.1136
0,1,1,0,1,0,512,0,32.1144
0,1,1,0,0,0,512,0,32.1214
0,1,2,0,0,1,2048,0,32.1222
1,1,2,0,0,1,1024,0,32.145
0,1,2,0,0,1,4096,0,32.164
0,1,2,1,1,0,4096,0,32.1888
1,1,2,1,0,0,2048,0,32.2072
0,1,2,0,0,1,1024,0,32.209
0,1,2,2,1,1,1024,0,32.2096
0,1,1,0,0,0,2048,0,32.2248
1,1,2,1,1,0,1024,0,32.2274
0,1,1,0,1,0,4096,0,32.237
0,1,1,0,0,0,1024,0,32.268
1,1,1,0,1,1,1024,0,32.272
1,1,2,1,1,0,2048,0,32.3072
1,1,1,0,0,1,512,0,32.3174
0,1,1,0,0,1,512,0,32.3318
0,1,2,0,1,1,2048,0,32.3634
1,1,1,0,1,0,512,0,32.389
1,1,1,0,1,0,2048,0,32.39
1,1,2,2,1,1,512,0,32.3934
1,1,2,2,0,1,4096,0,32.3962
0,1,2,1,0,1,1024,0,32.4226
1,1,2,0,1,1,512,0,32.436
0,1,2,1,1,1,1024,0,32.4414
1,1,1,0,0,0,2048,0,32.4476
0,1,1,0,1,1,512,0,32.465
1,1,1,0,0,0,512,0,32.4742
1,1,2,2,0,1,1024,0,32.4752
1,1,1,0,0,0,1024,0,32.4778
